# RSS imaging optics properties									
#									
# Focal lengths, temp dependence from ZEMAX									
# distortion from metal shim cartesian mask imaging:  V2 collimator distortion.									
#   mm and degrees									
#  dFcoldt	dFcamdt								
0.3360	0.1065								
#	0.99465	adjustment							
# Ang	mm	mm^-2	mm^-4	mm	mm	mm	rad^-2	rad	rad
# Wavel	Fcoll	     Acoll	 Bcoll	ydcoll	xdcoll	 Fcam	  acam	alphydcam	alphxdcam
3000	628.466	0.00906	0.00672	1.565	1.828	328.811	0.000	0.000	0.000
3200	627.630	0.00906	0.00672	1.565	1.828	328.166	0.000	0.000	0.000
3400	627.009	0.00906	0.00672	1.565	1.828	327.808	0.000	0.000	0.000
3600	626.536	0.00906	0.00672	1.565	1.828	327.618	0.000	0.000	0.000
3800	626.168	0.00906	0.00672	1.565	1.828	327.528	0.000	0.000	0.000
4000	625.877	0.00906	0.00672	1.565	1.828	327.499	0.000	0.000	0.000
4200	625.643	0.00906	0.00672	1.565	1.828	327.508	0.000	0.000	0.000
4400	625.454	0.00906	0.00672	1.565	1.828	327.540	0.000	0.000	0.000
4600	625.300	0.00906	0.00672	1.565	1.828	327.585	0.000	0.000	0.000
4800	625.173	0.00906	0.00672	1.565	1.828	327.639	0.000	0.000	0.000
5000	625.068	0.00906	0.00672	1.565	1.828	327.696	0.000	0.000	0.000
5200	624.981	0.00906	0.00672	1.565	1.828	327.756	0.000	0.000	0.000
5400	624.909	0.00906	0.00672	1.565	1.828	327.816	0.000	0.000	0.000
5600	624.850	0.00906	0.00672	1.565	1.828	327.876	0.000	0.000	0.000
5800	624.801	0.00906	0.00672	1.565	1.828	327.934	0.000	0.000	0.000
6000	624.761	0.00906	0.00672	1.565	1.828	327.991	0.000	0.000	0.000
6200	624.729	0.00906	0.00672	1.565	1.828	328.046	0.000	0.000	0.000
6400	624.704	0.00906	0.00672	1.565	1.828	328.100	0.000	0.000	0.000
6600	624.684	0.00906	0.00672	1.565	1.828	328.152	0.000	0.000	0.000
6800	624.670	0.00906	0.00672	1.565	1.828	328.202	0.000	0.000	0.000
7000	624.661	0.00906	0.00672	1.565	1.828	328.251	0.000	0.000	0.000
7200	624.655	0.00906	0.00672	1.565	1.828	328.298	0.000	0.000	0.000
7400	624.654	0.00906	0.00672	1.565	1.828	328.344	0.000	0.000	0.000
7600	624.656	0.00906	0.00672	1.565	1.828	328.388	0.000	0.000	0.000
7800	624.660	0.00906	0.00672	1.565	1.828	328.432	0.000	0.000	0.000
8000	624.668	0.00906	0.00672	1.565	1.828	328.474	0.000	0.000	0.000
8200	624.679	0.00906	0.00672	1.565	1.828	328.515	0.000	0.000	0.000
8400	624.691	0.00906	0.00672	1.565	1.828	328.556	0.000	0.000	0.000
8600	624.706	0.00906	0.00672	1.565	1.828	328.595	0.000	0.000	0.000
8800	624.724	0.00906	0.00672	1.565	1.828	328.634	0.000	0.000	0.000
9000	624.743	0.00906	0.00672	1.565	1.828	328.672	0.000	0.000	0.000
9200	624.764	0.00906	0.00672	1.565	1.828	328.710	0.000	0.000	0.000
9400	624.787	0.00906	0.00672	1.565	1.828	328.747	0.000	0.000	0.000
9600	624.811	0.00906	0.00672	1.565	1.828	328.783	0.000	0.000	0.000
9800	624.837	0.00906	0.00672	1.565	1.828	328.819	0.000	0.000	0.000
10000	624.865	0.00906	0.00672	1.565	1.828	328.855	0.000	0.000	0.000





