# RSS halfwave plate calibration data
# was RSSpol_HW_Calibration_20061031.txt
# poleff_sum.xlsx 20160705 to supercede 20061030
#  Ang   heff   PA (deg, instrumental coordinates)
  3200  0.85961  133.574
  3300  0.87692  130.787
  3400  0.88619  128.213
  3500  0.89914  125.832
  3600  0.94631  124.266
  3700  0.95448  124.694
  3800  0.95422  123.472
  3900  0.94914  121.801
  4000  0.94454  120.863
  4100  0.93312  120.018
  4200  0.93994  120.403
  4300  0.94720  120.935
  4400  0.95257  121.797
  4500  0.94976  122.587
  4600  0.94261  123.209
  4700  0.94261  123.526
  4800  0.94834  124.038
  4900  0.95416  125.000
  5000  0.95343  126.076
  5100  0.94930  127.304
  5200  0.94877  128.473
  5300  0.95522  128.872
  5400  0.95967  129.136
  5500  0.96402  129.475
  5600  0.97264  130.120
  5700  0.97015  130.814
  5800  0.97229  131.737
  5900  0.97211  132.483
  6000  0.97173  133.580
  6200  0.97863  133.553
  6400  0.98502  133.319
  6600  0.99197  133.050
  6800  0.99309  133.301
  7000  0.99247  133.938
  7200  0.99479  134.609
  7400  0.99528  134.521
  7600  0.99553  133.825
  7800  0.99527  132.741
  8000  0.99595  131.706
  8200  0.99595  130.441
  8400  0.99595  129.447
  8600  0.99595  129.059
  8800  0.99595  128.601
  9000  0.99595  128.143
  9200  0.99595  127.685
  9400  0.99595  127.227
  9600  0.99595  126.769
  9800  0.99595  126.311
 10000  0.99595  125.853
