# RSS halfwave plate calibration data
# was RSSpol_HW_Calibration_20061101.txt
#  Ang    heff    instPA     err 
  3200  0.914382  133.244  0.000490
  3300  0.902732  130.896  0.000254
  3400  0.901903  128.034  0.000202
  3500  0.905805  125.733  0.000218
  3550  0.913245  124.194  0.000233
  3600  0.920654  123.118  0.000215
  3650  0.926613  122.519  0.000204
  3700  0.930179  122.948  0.000175
  3750  0.932936  123.074  0.000137
  3800  0.935425  121.836  0.000106
  3850  0.936302  120.774  0.000089
  3900  0.937143  120.345  0.000084
  3950  0.938570  120.083  0.000081
  4000  0.939133  119.677  0.000071
  4050  0.937583  119.288  0.000067
  4150  0.933076  119.391  0.000068
  4200  0.934898  119.520  0.000063
  4250  0.938898  119.865  0.000059
  4300  0.942051  120.090  0.000060
  4350  0.944546  120.467  0.000066
  4400  0.945065  120.796  0.000060
  4450  0.943648  121.197  0.000061
  4500  0.939917  121.552  0.000065
  4550  0.937365  122.088  0.000064
  4600  0.936881  122.468  0.000064
  4650  0.938678  122.845  0.000059
  4700  0.941070  123.028  0.000058
  4750  0.943695  123.249  0.000058
  4800  0.946362  123.543  0.000059
  4850  0.949007  123.935  0.000068
  4900  0.950811  124.428  0.000061
  4950  0.951661  124.976  0.000061
  5000  0.951291  125.751  0.000050
  5100  0.949754  126.852  0.000050
  5200  0.949544  128.063  0.000047
  5300  0.951319  128.447  0.000044
  5400  0.955223  128.685  0.000044
  5500  0.959732  129.008  0.000044
  5600  0.964084  129.568  0.000045
  5700  0.967442  130.349  0.000047
  5800  0.969140  131.321  0.000048
  5900  0.969786  132.379  0.000050
  6000  0.970587  133.283  0.000049
  6100  0.971981  133.819  0.000055
  6200  0.975593  134.584  0.000118
  6300  0.977615  134.516  0.000121
  6400  0.979638  134.343  0.000121
  6500  0.982028  134.192  0.000124
  6600  0.984246  134.130  0.000126
  6700  0.985815  134.168  0.000128
  6800  0.986776  134.387  0.000130
  6900  0.987485  134.704  0.000140
  7000  0.987403  135.176  0.000111
  7200  0.987832  135.600  0.000102
  7400  0.987908  135.502  0.000100
  7600  0.987925  134.838  0.000112
  7800  0.988831  133.626  0.000233
  8000  0.989427  132.609  0.000107
  8200  0.988917  131.349  0.000118
  8400  0.988529  130.283  0.000121
  8600  0.987652  129.746  0.000129
  8800  0.986256  129.605  0.000142
  9000  0.984069  129.485  0.000167
  9200  0.983604  129.146  0.000195
  9400  0.982508  128.343  0.000307
  9600  0.982812  127.345  0.000322
  9800  0.981997  126.286  0.000367
 10000  0.984902  125.678  0.001269
