# RSS halfwave plate calibration data
#  Ang    heff    instPA     err 
  3200  0.914382  133.381  0.000490
  3300  0.902732  131.032  0.000254
  3400  0.901903  128.170  0.000202
  3500  0.905805  125.870  0.000218
  3550  0.913245  124.331  0.000233
  3600  0.920654  123.255  0.000215
  3650  0.926613  122.656  0.000204
  3700  0.930179  123.085  0.000175
  3750  0.932936  123.210  0.000137
  3800  0.935425  121.972  0.000106
  3850  0.936302  120.911  0.000089
  3900  0.937143  120.482  0.000084
  3950  0.938570  120.220  0.000081
  4000  0.939133  119.813  0.000071
  4050  0.937583  119.425  0.000067
  4150  0.933076  119.528  0.000068
  4200  0.934898  119.657  0.000063
  4250  0.938277  119.921  0.000105
  4300  0.941693  120.223  0.000302
  4400  0.945411  121.062  0.000571
  4450  0.944581  121.487  0.000184
  4650  0.941286  123.188  0.000214
  4700  0.943598  123.374  0.000192
  4750  0.946283  123.647  0.000194
  4800  0.949015  123.988  0.000199
  4850  0.951610  124.426  0.000212
  4900  0.953397  124.968  0.000209
  4950  0.954460  125.543  0.000213
  5000  0.954385  126.296  0.000179
  5100  0.953262  127.369  0.000160
  5200  0.953625  128.486  0.000161
  5300  0.955791  128.992  0.000163
  5400  0.959323  129.304  0.000167
  5500  0.963088  129.738  0.000170
  5600  0.967513  130.373  0.000177
  5700  0.970272  131.193  0.000185
  5800  0.971878  132.116  0.000193
  5900  0.973051  133.091  0.000203
  6000  0.973962  133.933  0.000206
  6100  0.975456  134.460  0.000209
  6200  0.976684  134.624  0.000216
  6300  0.978740  134.590  0.000228
  6400  0.980230  134.470  0.000225
  6500  0.982612  134.379  0.000236
  6600  0.984066  134.370  0.000234
  6700  0.984988  134.451  0.000261
  6800  0.985757  134.649  0.000265
  6900  0.987126  134.939  0.000302
  7000  0.987004  135.314  0.000231
  7200  0.988221  135.701  0.000217
  7400  0.987878  135.615  0.000212
  7600  0.987158  134.983  0.000233
  7800  0.987799  133.798  0.000478
  8000  0.989091  132.788  0.000203
  8200  0.987848  131.601  0.000222
  8400  0.986782  130.551  0.000232
  8600  0.986188  129.982  0.000241
  8800  0.984118  129.777  0.000267
  9000  0.985568  129.683  0.000321
  9200  0.984769  129.340  0.000385
  9400  0.981626  128.500  0.000766
  9600  0.983560  127.536  0.000786
  9800  0.977420  126.514  0.000828
 10000  0.982309  125.919  0.002225
