# Telescope linear polarization zero point (primary mirror coordinates) 
#  Ang    q (%)    u(%)   err(%)
  3000    0.234   -0.010    0.064 
  3250    0.276   -0.007    0.064 
  3750    0.360   -0.003    0.034 
  4250    0.189   -0.021    0.020 
  4750    0.217   -0.024    0.015 
  5250    0.292   -0.035    0.011 
  5750    0.258   -0.033    0.013 
  6250    0.176   -0.038    0.009 
  6750    0.153   -0.037    0.012 
  7250    0.148   -0.042    0.010 
  7750    0.142   -0.046    0.008 
  8250    0.143   -0.035    0.010 
  8750    0.119   -0.033    0.011 
  9250    0.088   -0.050    0.014 
  9750    0.093   -0.050    0.016 
 10000    0.095   -0.049    0.016 
