# RSS Beamsplitter
#
# V8: separate tables for O and E
# bsrot, distortion from 20201001_bsflex_4b/RSSpoldist
# y_0 from polaptrace.xlsx/RSSpoldist saltpol re-optimization with wedge
#  degrees in collimated space
bsrot         yoff        xoff
0.152       0.0000      0.0000
# separate O, E tables
Wavs
20
#
# Ang\deg   1           1       1000        1000        1000       1        1000      1000
Wavel       y_0        y_Y     y_YY       y_YYY        y_XX        x_X     x_XY      x_XXY
3000    -3.05165    0.99278 -0.88795    -0.16307     0.00213    0.99752 -0.42416   -0.00283
3100    -2.99811    0.99259 -0.88894    -0.16034    -0.00093    0.99733 -0.42908   -0.00132
3200    -2.95119    0.99240 -0.88992    -0.15770    -0.00391    0.99714 -0.43399    0.00020
3300    -2.90980    0.99223 -0.89090    -0.15516    -0.00681    0.99695 -0.43891    0.00172
3400    -2.87306    0.99205 -0.89188    -0.15272    -0.00963    0.99677 -0.44382    0.00324
3500    -2.84025    0.99189 -0.89287    -0.15038    -0.01237    0.99660 -0.44873    0.00476
3600    -2.81082    0.99172 -0.89385    -0.14814    -0.01503    0.99643 -0.45365    0.00628
3800    -2.76026    0.99142 -0.89582    -0.14395    -0.02011    0.99612 -0.46348    0.00931
4000    -2.71850    0.99114 -0.89778    -0.14015    -0.02488    0.99582 -0.47331    0.01235
4200    -2.68350    0.99088 -0.89975    -0.13674    -0.02933    0.99555 -0.48314    0.01539
4600    -2.62831    0.99043 -0.90368    -0.13110    -0.03727    0.99508 -0.50280    0.02146
5000    -2.58689    0.99007 -0.90761    -0.12703    -0.04394    0.99471 -0.52246    0.02754
5500    -2.54774    0.98975 -0.91252    -0.12416    -0.05049    0.99437 -0.54703    0.03513
6000    -2.51786    0.98958 -0.91744    -0.12374    -0.05504    0.99418 -0.57160    0.04272
6500    -2.49416    0.98955 -0.92235    -0.12577    -0.05761    0.99414 -0.59618    0.05031
7000    -2.47470    0.98966 -0.92727    -0.13025    -0.05820    0.99424 -0.62075    0.05790
8000    -2.44393    0.99032 -0.93709    -0.14658    -0.05339    0.99488 -0.66990    0.07309
9000    -2.41959    0.99156 -0.94692    -0.17273    -0.04064    0.99611 -0.71905    0.08827
10000   -2.39868    0.99337 -0.95675    -0.20869    -0.01993    0.99793 -0.76819    0.10346
10500   -2.38895    0.99449 -0.96167    -0.23035    -0.00659    0.99906 -0.79277    0.11105
Wavel       y_0        y_Y     y_YY       y_YYY        y_XX        x_X     x_XY      x_XXY
3000     3.06873    1.00610  0.16883    -0.13427     0.16851    0.99750  0.06485    0.06682
3100     3.01445    1.00587  0.16498    -0.13396     0.17261    0.99729  0.06337    0.06652
3200     2.96691    1.00564  0.16113    -0.13362     0.17661    0.99709  0.06189    0.06622
3300     2.92497    1.00542  0.15728    -0.13326     0.18049    0.99689  0.06040    0.06592
3400     2.88775    1.00520  0.15343    -0.13288     0.18427    0.99670  0.05892    0.06562
3500     2.85453    1.00499  0.14958    -0.13247     0.18795    0.99652  0.05744    0.06532
3600     2.82473    1.00479  0.14573    -0.13205     0.19152    0.99634  0.05595    0.06502
3800     2.77356    1.00440  0.13803    -0.13113     0.19834    0.99600  0.05299    0.06442
4000     2.73129    1.00404  0.13033    -0.13013     0.20473    0.99569  0.05002    0.06383
4200     2.69588    1.00371  0.12263    -0.12904     0.21070    0.99540  0.04705    0.06323
4600     2.64006    1.00312  0.10723    -0.12661     0.22136    0.99490  0.04112    0.06203
5000     2.59818    1.00263  0.09183    -0.12382     0.23032    0.99450  0.03519    0.06083
5500     2.55860    1.00217  0.07259    -0.11985     0.23913    0.99415  0.02777    0.05933
6000     2.52840    1.00187  0.05334    -0.11534     0.24528    0.99396  0.02035    0.05783
6500     2.50444    1.00174  0.03409    -0.11029     0.24878    0.99392  0.01293    0.05633
7000     2.48477    1.00176  0.01484    -0.10470     0.24962    0.99405  0.00552    0.05484
8000     2.45366    1.00230 -0.02366    -0.09189     0.24333    0.99478 -0.00932    0.05184
9000     2.42905    1.00349 -0.06215    -0.07692     0.22642    0.99614 -0.02415    0.04884
10000    2.40790    1.00533 -0.10065    -0.05978     0.19888    0.99814 -0.03899    0.04585
10500    2.39806    1.00650 -0.11990    -0.05040     0.18113    0.99938 -0.04640    0.04435
