# from Poleff/ET21B/ripplemap.xlsx
# pa difference from center MB
#   20230313
# wavl  ripplesign
4150    0
4200    0
4250    0
4300    0
4350    0
4400    0
4450    0
4500    0
4550    0
4600    1
4650    1
4700    1
4750    1
4800    1
4850    0
4900    -1
4950    -1
5000    -1
5100    -1
5200    1
5300    1
5400    1
5500    1
5600    0
5700    -1
5800    -1
5900    -1
6000    0
6100    1
6200    1
6300    1
6400    1
6500    0
6600    -1
6700    -1
6800    -1
6900    -1
7000    -1
7100    -1
7200    0
7300    1
7400    1
7500    1
7600    1
7700    1
7800    1
7900    1
8000    0
8100    0
8200    0
8300    -1
8400    -1
8500    -1
8600    0
8700    0
8800    0
8900    0
9000    0
