# Filter, from Focus_PCON.xlsx		
# Name	Center	Focus-offset
PC00000	4500	0
PC03200	4500	0
PC03400	5000	0
PC03850	5000	0
PC04600	6000	0
EMPTY	5000	0
PI04340	4336	-262
PI04400	4398.4	51
PI04465	4464	-268
PI04530	4528.5	139
PI04600	4605	-22
PI04670	4672.3	172
PI04740	4741	-245
PI04820	4821.9	26
PI04895	4897	-306
PI04975	4973.8	57
PI05060	5055	-228
PI05145	5135.6	17
PI05235	5220.5	-164
PI05325	5313.9	132
PI05420	5412	97
PI05520	5512.1	129
PI05620	5615	-129
PI05725	5712.6	179
PI05830	5815	-61
PI05945	5927.9	163
PI06055	6043	-218
PI06170	6159	190
PI06290	6280.5	-242
PI06410	6398.5	55
PI06530	6515	-260
PI06645	6626.8	-19
PI06765	6744	-253
PI06885	6872.5	35
PI07005	6998.5	2
PI07130	7108.6	25
PI07260	7230	-263
PI07390	7377.1	-5
PI07535	7533	-269
PI07685	7668.5	15
PI07840	7807	-277
PI08005	7974	-300
PI08175	8149.5	-284
PI08350	8342.6	45
PI08535	8546	-96
PI08730	8772	144
