# 700 l/mm VPH grating, tilted grooves
# from vendor data: 6811-01-01 1st Order Data.xlsx
#   grateff_0700.xlsx/ Vendor
# khn 20240724
# grang 3       4.6     6       7.5
# wavl   eff     p/s     eff     p/s     eff     p/s     eff     p/s
3200    33.823  1.224   22.457  1.164   13.560  1.027   6.423   0.893
3500    51.002  1.113   38.464  1.117   25.274  1.022   12.921  0.909
4000    62.403  1.130   56.842  1.155   46.161  1.101   28.865  1.077
4500    65.443  1.119   67.260  1.133   62.163  1.134   48.298  1.128
5000    63.781  1.047   72.100  1.072   73.553  1.067   65.158  1.057
5500    56.509  1.010   69.499  1.025   77.213  1.029   74.977  1.033
6000    48.105  1.015   62.519  1.010   74.093  1.007   77.839  1.008
6500    42.733  1.063   57.183  1.047   70.279  1.023   77.791  1.016
7000    39.659  1.123   53.465  1.080   66.258  1.043   75.804  1.039
7500    38.867  1.157   51.627  1.113   63.304  1.082   73.539  1.056
8000    38.632  1.164   50.489  1.120   61.371  1.086   71.003  1.052
8500    37.733  1.180   49.543  1.115   60.010  1.084   68.921  1.057
9000    35.618  1.168   47.166  1.094   57.834  1.064   66.564  1.038
9500    31.664  1.175   42.289  1.095   51.744  1.071   60.196  1.030
