# from polstds_specpolsum.xlsx/HD298383
# wavl  rippleampl
4150    0.729
4200    -0.418
4250    -0.345
4300    -0.947
4350    -0.699
4400    -0.731
4450    -0.373
4500    -0.293
4550    0.778
4600    0.928
4650    1.000
4700    -0.080
4750    -0.727
4800    -1.018
4850    -1.000
4900    -0.709
4950    -0.389
5000    0.270
5100    0.597
5200    1.000
5300    0.597
5400    -0.059
5500    -0.687
5600    -1.000
5700    -0.633
5800    -0.073
5900    0.491
6000    0.818
6100    0.787
6200    1.000
6300    0.758
6400    0.348
6500    -0.179
6600    -0.821
6700    -1.000
6800    -0.546
6900    0.005
7000    0.682
7200    1.000
7400    1.039
7600    0.790
7800    0.223
8000    0.126
8200    -0.463
8400    -1.000
8600    -0.862
8800    -0.248
9000    0.393
9200    0.809
9400    0.526
9600    -0.061
9800    -0.801
10000   -0.866
