# Serkowski fit (lmax=5500) to unpol standard UBVRI data
# comm_targets_unpolstds.xlsx 20170125
#Name	     %qmax	  %Err	  %umax	  %Err
WD2359-434	0.0012	0.0123	-0.0165	0.0443
HD10038	    0.0925	0.0072	-0.0303	0.0090
HD12021	    0.0612	0.0088	-0.1235	0.0088
HD13588	    0.1022	0.0072	0.0000	0.0072
WD0310-688	0.0149	0.0369	-0.0310	0.0828
HD42078	    0.0566	0.0072	-0.0155	0.0072
HD64299	    -0.1153	0.0197	0.0083	0.0197
WD0752-676	0.0000	0.0072	0.0535	0.0266
HD94851	    -0.0278	0.0090	0.0152	0.0090
HD97689	    0.1616	0.0371	0.0050	0.0072
HD98161	    -0.0193	0.0035	0.0250	0.0035
WD1615-154	0.1137	0.0088	-0.0300	0.0130
WD1620-391	0.0111	0.0057	0.0006	0.0046
HD176425	0.0151	0.0045	0.0077	0.0045
WD2007-303	0.4713	0.0093	-0.0711	0.0072
WD2039-202	0.0651	0.0076	0.0031	0.0063
WD2149+021	0.1252	0.0075	-0.0360	0.0093
