# UVES Skylines
# Skylines_UVES_Hanuschik_khn.xlsx
# Total Flux > 0.1
# 24 Aug 2015
#
# lambda FWHM	Center	Total
# Ang	Ang	    Flux	Flux
3142.68	0.073	1.55	0.11
3143.68	0.124	1.10	0.14
3144.09	0.095	1.95	0.19
3145.51	0.084	2.23	0.19
3147.79	0.091	1.74	0.16
3148.20	0.066	1.54	0.10
3150.49	0.123	1.31	0.16
3150.91	0.082	1.50	0.12
3153.66	0.163	0.78	0.13
3154.08	0.088	1.26	0.11
3209.77	0.285	0.91	0.26
3211.75	0.104	1.28	0.13
3212.18	0.089	1.39	0.12
3213.60	0.081	1.32	0.11
3221.89	0.222	0.49	0.11
3271.89	0.269	0.73	0.20
3295.24	0.121	0.93	0.11
3297.19	0.095	1.28	0.12
3297.63	0.113	1.04	0.12
3302.52	0.297	0.65	0.19
3372.07	0.084	1.22	0.10
3374.51	0.105	1.13	0.12
3435.66	0.323	0.43	0.14
3482.46	0.149	0.74	0.11
3485.20	0.103	1.08	0.11
3494.95	0.189	0.64	0.12
3563.92	0.354	0.49	0.17
3774.94	0.346	0.31	0.11
3888.64	0.150	0.67	0.10
3951.54	0.436	0.24	0.11
5197.93	0.122	4.75	0.58
5200.29	0.121	2.76	0.33
5330.42	0.664	0.17	0.12
5564.00	0.125	0.87	0.11
5577.35	0.127	154.48	19.59
5589.14	0.140	0.72	0.10
5605.15	0.188	0.73	0.14
5865.47	0.145	0.84	0.12
5867.55	0.143	1.03	0.15
5888.19	0.140	2.24	0.31
5889.96	0.152	11.29	1.71
5894.47	0.194	0.70	0.14
5895.93	0.150	6.76	1.01
5915.31	0.153	1.83	0.28
5924.73	0.155	0.90	0.14
5932.86	0.200	1.82	0.36
5945.94	0.150	0.82	0.12
5953.36	0.193	1.05	0.20
5953.49	0.205	1.07	0.22
6170.65	0.147	1.18	0.17
6202.73	0.170	0.99	0.17
6221.78	0.236	0.83	0.20
6234.30	0.145	1.42	0.21
6235.68	0.153	0.93	0.14
6235.97	0.161	1.81	0.29
6240.24	0.207	0.50	0.10
6243.73	0.261	0.46	0.12
6257.97	0.152	3.57	0.54
6265.22	0.192	1.15	0.22
6287.44	0.159	2.96	0.47
6297.91	0.164	1.27	0.21
6300.31	0.163	125.99	20.47
6301.28	0.664	0.18	0.12
6306.93	0.219	3.08	0.67
6321.41	0.154	1.27	0.20
6329.78	0.208	1.58	0.33
6329.93	0.243	1.67	0.41
6348.54	0.154	0.90	0.14
6356.18	0.162	1.12	0.18
6356.45	0.159	1.05	0.17
6363.78	0.164	41.09	6.74
6463.53	0.170	0.72	0.12
6465.95	0.183	1.35	0.25
6470.98	0.165	1.60	0.26
6498.74	0.157	4.27	0.67
6505.00	0.251	1.01	0.25
6522.43	0.166	0.96	0.16
6533.05	0.173	3.28	0.57
6544.04	0.163	1.38	0.22
6553.63	0.239	2.67	0.64
6562.76	0.226	1.16	0.26
6568.79	0.159	1.16	0.18
6577.20	0.191	1.57	0.30
6577.38	0.200	1.46	0.29
6596.64	0.175	0.68	0.12
6604.00	0.157	0.86	0.13
6604.28	0.173	0.78	0.14
6827.47	0.160	1.77	0.28
6828.48	0.156	0.83	0.13
6829.51	0.170	3.16	0.54
6829.93	0.172	0.81	0.14
6834.02	0.167	1.31	0.22
6834.45	0.165	3.26	0.54
6841.96	0.154	1.32	0.20
6862.70	0.218	0.86	0.19
6863.97	0.161	8.86	1.43
6871.07	0.158	1.14	0.18
6889.30	0.173	1.90	0.33
6900.81	0.157	2.18	0.34
6912.64	0.162	2.68	0.44
6923.19	0.189	4.44	0.84
6939.54	0.150	2.56	0.38
6948.96	0.170	3.24	0.55
6949.17	0.168	3.08	0.52
6969.94	0.176	1.61	0.28
6978.27	0.163	1.84	0.30
6978.58	0.158	1.79	0.28
7003.87	0.253	0.68	0.17
7011.22	0.150	0.98	0.15
7011.64	0.152	0.94	0.14
7238.79	0.174	4.20	0.73
7240.19	0.171	6.47	1.10
7240.86	0.167	1.70	0.29
7241.42	0.183	1.83	0.33
7241.94	0.186	1.02	0.19
7244.94	0.231	7.26	1.68
7246.55	0.193	1.44	0.28
7253.15	0.168	2.65	0.45
7255.91	0.222	0.52	0.12
7275.12	0.235	1.76	0.41
7276.42	0.171	16.80	2.87
7284.46	0.251	4.54	1.14
7295.80	0.158	1.21	0.19
7296.11	0.160	1.19	0.19
7303.73	0.186	3.92	0.73
7316.29	0.190	13.14	2.49
7329.16	0.184	5.38	0.99
7340.90	0.258	11.56	2.98
7358.68	0.167	5.54	0.92
7369.27	0.183	6.90	1.27
7369.50	0.191	6.84	1.31
7392.21	0.180	3.76	0.68
7401.70	0.175	4.24	0.74
7402.04	0.169	3.97	0.67
7429.79	0.249	1.90	0.47
7429.79	0.246	1.90	0.47
7438.26	0.171	2.34	0.40
7438.72	0.166	2.22	0.37
7462.45	0.219	0.49	0.11
7466.62	0.195	1.27	0.25
7470.72	0.176	0.65	0.11
7471.39	0.208	0.79	0.16
7471.59	0.199	0.75	0.15
7473.69	0.189	2.41	0.46
7479.03	0.167	1.24	0.21
7479.62	0.168	1.18	0.20
7480.26	0.169	1.09	0.18
7483.48	0.174	3.22	0.56
7493.67	0.180	1.23	0.22
7522.67	0.303	0.68	0.21
7524.01	0.191	8.71	1.67
7524.86	0.174	0.73	0.13
7530.65	0.237	1.51	0.36
7530.78	0.239	1.49	0.36
7557.50	0.190	2.03	0.39
7571.75	0.201	6.10	1.23
7586.09	0.180	2.54	0.46
7598.38	0.220	2.38	0.52
7618.06	0.181	2.03	0.37
7628.51	0.196	0.84	0.16
7628.77	0.191	1.96	0.37
7653.32	0.220	1.02	0.22
7662.19	0.172	1.34	0.23
7662.56	0.179	1.29	0.23
7691.91	0.691	0.32	0.22
7699.47	0.184	0.61	0.11
7712.23	0.184	5.66	1.04
7712.64	0.189	8.02	1.52
7715.06	0.195	2.53	0.49
7715.86	0.183	2.86	0.52
7716.92	0.183	10.07	1.84
7718.07	0.188	3.65	0.68
7723.66	0.239	1.67	0.40
7726.06	0.173	3.41	0.59
7734.97	0.193	0.52	0.10
7735.85	0.282	0.48	0.14
7749.44	0.240	2.01	0.48
7750.66	0.177	20.99	3.71
7756.82	0.517	0.39	0.20
7760.01	0.246	6.99	1.72
7771.96	0.188	0.85	0.16
7773.23	0.186	1.62	0.30
7773.53	0.174	1.63	0.28
7774.18	0.203	0.52	0.10
7780.43	0.210	4.72	0.99
7794.12	0.206	15.82	3.25
7808.48	0.196	6.69	1.31
7821.52	0.287	14.36	4.12
7841.28	0.178	6.80	1.21
7849.16	0.185	0.66	0.12
7849.74	0.196	1.68	0.33
7852.33	0.204	0.86	0.18
7853.26	0.205	8.53	1.74
7853.52	0.220	10.80	2.37
7858.00	0.188	1.88	0.35
7860.66	0.194	7.28	1.41
7867.74	0.177	3.26	0.58
7870.74	0.182	9.07	1.65
7878.79	0.188	4.76	0.90
7881.68	0.193	3.55	0.69
7889.68	0.175	5.25	0.92
7912.26	0.317	1.69	0.54
7913.72	0.195	24.48	4.77
7918.47	0.258	0.70	0.18
7921.11	0.338	6.28	2.12
7930.89	0.179	3.05	0.55
7931.44	0.248	3.12	0.78
7932.01	0.179	1.34	0.24
7949.21	0.199	5.78	1.15
7964.65	0.210	18.55	3.90
7968.06	0.241	0.85	0.20
7968.25	0.207	0.86	0.18
7977.00	0.181	1.51	0.27
7977.67	0.180	1.46	0.26
7979.77	0.192	7.07	1.35
7993.33	0.329	12.42	4.09
8014.07	0.189	5.65	1.07
8020.39	0.189	0.73	0.14
8025.68	0.203	7.88	1.60
8025.96	0.202	7.60	1.54
8028.20	0.184	0.81	0.15
8029.03	0.194	0.81	0.16
8031.77	0.318	0.35	0.11
8052.03	0.231	3.04	0.70
8061.99	0.178	4.07	0.72
8062.39	0.178	3.92	0.70
8093.68	0.366	0.88	0.32
8102.25	0.199	1.71	0.34
8102.77	0.199	1.59	0.32
8146.50	0.209	0.90	0.19
8147.18	0.178	0.59	0.11
8278.31	0.213	3.33	0.71
8278.59	0.210	1.56	0.33
8281.04	0.219	1.72	0.38
8281.69	0.201	8.34	1.68
8282.68	0.196	0.76	0.15
8283.18	0.217	0.48	0.10
8286.41	0.197	3.63	0.71
8288.61	0.201	13.72	2.76
8290.59	0.230	0.79	0.18
8296.25	0.186	5.90	1.09
8298.91	0.194	16.81	3.27
8302.53	0.249	0.45	0.11
8310.72	0.200	5.99	1.20
8343.04	0.317	3.11	0.99
8344.61	0.205	41.35	8.46
8349.64	0.211	0.70	0.15
8349.93	0.193	0.73	0.14
8352.88	0.358	8.09	2.90
8361.10	0.384	0.33	0.13
8364.51	0.192	2.55	0.49
8364.97	0.206	2.37	0.49
8379.92	0.188	0.78	0.15
8380.75	0.195	0.77	0.15
8382.40	0.217	9.30	2.02
8399.18	0.222	31.64	7.01
8399.18	0.222	31.32	6.95
8415.24	0.193	13.18	2.55
8427.43	0.315	0.37	0.12
8430.12	0.245	22.18	5.43
8430.18	0.360	22.28	8.03
8434.39	0.223	0.60	0.13
8446.37	0.241	0.42	0.10
8452.27	0.204	10.94	2.23
8465.23	0.219	13.49	2.95
8465.51	0.211	13.32	2.81
8474.62	0.355	0.46	0.16
8493.40	0.223	6.70	1.49
8494.28	0.266	0.41	0.11
8504.64	0.183	7.86	1.44
8505.07	0.189	7.57	1.43
8538.69	0.408	5.95	2.43
8621.36	0.204	0.60	0.12
8622.90	0.202	0.58	0.12
8624.54	0.200	0.99	0.20
8626.07	0.199	0.89	0.18
8627.92	0.198	1.39	0.27
8629.43	0.197	1.26	0.25
8631.50	0.200	1.63	0.33
8632.99	0.211	1.36	0.29
8635.27	0.203	1.64	0.33
8636.73	0.203	1.18	0.24
8639.25	0.207	1.11	0.23
8640.66	0.199	0.55	0.11
8646.90	0.207	1.25	0.26
8649.72	0.237	1.63	0.38
8650.38	0.169	0.83	0.14
8651.29	0.205	4.70	0.96
8654.36	0.212	4.98	1.05
8655.86	0.212	6.30	1.34
8659.14	0.195	5.68	1.11
8660.64	0.199	6.57	1.31
8664.13	0.213	5.10	1.09
8665.59	0.216	6.04	1.31
8669.28	0.215	4.76	1.02
8670.73	0.218	5.27	1.15
8674.63	0.218	3.50	0.76
8676.07	0.208	3.74	0.78
8680.17	0.214	2.49	0.53
8681.59	0.214	2.50	0.54
8685.89	0.210	1.51	0.32
8687.30	0.212	1.69	0.36
8691.81	0.204	0.83	0.17
8693.21	0.214	0.94	0.20
8699.31	0.207	0.52	0.11
8700.12	0.217	0.51	0.11
8706.96	0.220	0.71	0.16
8707.99	0.219	0.59	0.13
8758.73	0.213	6.58	1.40
8760.28	0.208	3.11	0.65
8761.34	0.230	13.59	3.13
8761.62	0.268	4.79	1.28
8763.02	0.221	0.52	0.12
8766.42	0.232	7.16	1.66
8767.92	0.218	22.79	4.98
8769.16	0.202	0.72	0.15
8770.38	0.209	0.59	0.12
8776.22	0.228	10.28	2.34
8778.34	0.212	25.00	5.29
8790.24	0.225	0.78	0.18
8791.19	0.233	9.43	2.20
8809.22	0.223	0.72	0.16
8810.18	0.258	0.49	0.13
8810.44	0.248	0.48	0.12
8825.46	0.343	4.50	1.55
8827.11	0.221	59.43	13.13
8830.77	0.358	0.59	0.21
8832.92	0.321	1.37	0.44
8833.12	0.312	1.24	0.39
8834.12	0.221	0.51	0.11
8836.45	0.380	13.90	5.28
8837.68	0.215	0.59	0.13
8845.28	0.233	0.44	0.10
8845.62	0.227	0.45	0.10
8849.60	0.216	3.98	0.86
8850.07	0.212	3.93	0.83
8861.67	0.331	0.43	0.14
8862.85	0.228	0.52	0.12
8867.00	0.217	1.23	0.27
8867.61	0.252	14.14	3.57
8885.86	0.244	43.27	10.57
8903.12	0.224	19.49	4.36
8908.40	0.215	0.70	0.15
8910.04	0.199	0.57	0.11
8919.64	0.364	31.45	11.45
8928.09	0.251	0.74	0.18
8943.41	0.226	16.69	3.78
8957.95	0.253	19.32	4.89
8958.25	0.240	19.29	4.63
8971.23	0.374	0.61	0.23
8981.11	0.217	0.69	0.15
8985.78	0.222	0.73	0.16
8988.38	0.241	10.37	2.50
8992.31	0.348	0.47	0.17
8992.54	0.210	0.55	0.12
9001.13	0.215	11.99	2.58
9001.59	0.215	12.06	2.59
9038.06	0.368	3.60	1.32
9049.25	0.223	5.81	1.30
9049.87	0.218	5.60	1.22
9064.25	0.220	0.48	0.11
9068.56	0.236	0.65	0.15
9070.66	0.223	0.49	0.11
9092.42	0.237	1.55	0.37
9092.73	0.252	1.58	0.40
9102.41	0.217	2.88	0.63
9103.18	0.225	2.64	0.59
9151.42	0.352	0.29	0.10
